id0190469,2,1/1/16 0:00,1/1/16 0:14,5,-73.98174286,40.71915817,-73.93882751,40.82918167,N,7.928829612,849,15309,1109
id1665586,1,1/1/16 0:00,1/1/16 0:22,1,-73.98508453,40.74716568,-73.95803833,40.71749115,N,2.49248213,1294,9970,1277
id1078247,2,1/1/16 0:01,1/1/16 0:03,1,-73.97333527,40.76407242,-73.97485352,40.76173401,N,0.180098735,114,289,79
id3609443,1,1/1/16 0:01,1/1/16 0:21,2,-73.99310303,40.75263214,-73.9539032,40.81653976,N,4.869948238,1204,9821,1274
id3888279,1,1/1/16 0:01,1/1/16 0:05,1,-73.98229218,40.75133133,-73.99134064,40.75033951,N,0.478681711,280,1052,345
id1210365,2,1/1/16 0:01,1/1/16 0:07,5,-73.96527863,40.80104065,-73.94747925,40.81517029,N,1.34929714,408,2775,630
id0924227,1,1/1/16 0:01,1/1/16 0:13,1,-73.97010803,40.75979996,-73.98935699,40.74298859,N,1.538063047,736,2940,787
id3675972,2,1/1/16 0:02,1/1/16 0:10,1,-73.99373627,40.74176025,-74.00466919,40.74546814,N,0.627214199,445,2040,545
id2914314,2,1/1/16 0:02,1/1/16 0:23,1,-73.98544312,40.73571014,-73.95748901,40.81161118,N,5.445945208,1310,13877,1683
id0846101,2,1/1/16 0:03,1/1/16 0:07,1,-73.97686005,40.68337631,-73.98364258,40.68886566,N,0.519886516,263,872,263
id0372520,1,1/1/16 0:03,1/1/16 0:16,1,-73.9697876,40.75758362,-73.95157623,40.75944519,N,0.962020222,770,6083,982
id3968582,1,1/1/16 0:04,1/1/16 0:22,2,-73.99397278,40.74086761,-73.98855591,40.76478195,N,1.676941623,1071,4629,1118
id0460928,2,1/1/16 0:05,1/1/16 0:13,3,-74.00531769,40.72866058,-73.99716187,40.72063065,N,0.700340355,468,1665,587
id3956309,1,1/1/16 0:05,1/1/16 0:17,1,-73.99013519,40.74885178,-73.95653534,40.77566528,N,2.554963525,728,5085,1241
id2563820,2,1/1/16 0:05,1/1/16 0:09,1,-73.9595108,40.76280975,-73.96839142,40.77051926,N,0.707098276,287,1445,431
id2335372,2,1/1/16 0:05,1/1/16 0:27,1,-73.99025726,40.73703384,-73.92808533,40.75789261,N,3.560214118,1318,8253,1785
id1864422,1,1/1/16 0:06,1/1/16 0:31,1,-73.99495697,40.745121,-73.95465851,40.77878189,N,3.140430791,1512,9671,1392
id3574841,1,1/1/16 0:06,1/1/16 0:07,1,-73.93579865,40.70730972,-73.93305969,40.70948029,N,0.207592589,61,527,99
id0275133,1,1/1/16 0:06,1/1/16 0:16,1,-73.99046326,40.75100708,-73.99276733,40.72535706,N,1.776846121,608,3849,1030
